#     Start     Position                         
#     -46466.4889     -14705.1693     1.1521                    
#     Num.     of     WP                    
     143                              
#     ID     WP_x[m]     WP_y[m]     Velocity[m/s]     CUT_Flag[1:down:2:up]     area_type     gain_id
     122    -46462.0275     -14695.6644     -1     0     0     0
     123    -46462.2372     -14696.1183     -1     0     0     0
     124    -46462.4470     -14696.5722     -1     0     0     0
     125    -46462.6568     -14697.0260     -1     0     0     0
     126    -46462.8665     -14697.4799     -1     0     0     0
     127    -46463.0763     -14697.9338     -1     0     0     0
     128    -46463.2860     -14698.3877     -1     0     0     0
     129    -46463.4958     -14698.8415     -1     0     0     0
     130    -46463.7055     -14699.2954     -1     0     0     0
     131    -46463.9153     -14699.7493     -1     0     0     0
     132    -46464.1297     -14700.201      -1     0     0     0
     133    -46464.3442     -14700.6526     -1     0     0     0
     134    -46464.5587     -14701.1043     -1     0     0     0
     135    -46464.7732     -14701.556      -1     0     0     0
     136    -46464.9876     -14702.0076     -1     0     0     0
     137    -46465.2021     -14702.4593     -1     0     0     0
     138    -46465.4166     -14702.911      -1     0     0     0
     139    -46465.631      -14703.3626     -1     0     0     0
     140    -46465.8455     -14703.8143     -0.7     0     0     0
     141    -46466.06	      -14704.266      -0.5     0     0     0
     142    -46466.2744     -14704.7176     -0.3	 0     0     0
     143    -46466.4889     -14705.1693     -0.1     0     0     0
